"nombre_pais","region","anio","Crecimiento del PIB (% anual)","Crecimiento del PIB per cápita (% anual)","Índice de recuento de la pobreza multidimensional (Banco Mundial) (% de la población)","pbi","pbi_pc","pob"
"Eslovenia","Europa y Asia Central",2016,3.03441486663654,2.95902414777296,0,3.03441486663654,2.95902414777296,0
"Eslovenia","Europa y Asia Central",2017,5.17440215579958,5.10589384792048,0,5.17440215579958,5.10589384792048,0
"Eslovenia","Europa y Asia Central",2018,4.37908347331195,4.00130649890984,0,4.37908347331195,4.00130649890984,0
"Eslovenia","Europa y Asia Central",2019,3.50525332381912,2.78704541391961,0,3.50525332381912,2.78704541391961,0
"Eslovenia","Europa y Asia Central",2020,-4.08500094942896,-4.72524968037921,0,-4.08500094942896,-4.72524968037921,0
"Eslovenia","Europa y Asia Central",2021,8.41686457725321,8.12577517618843,0,8.41686457725321,8.12577517618843,0
"Eslovenia","Europa y Asia Central",2022,2.66850555542486,2.47421045586167,0,2.66850555542486,2.47421045586167,0
"Eslovenia","Europa y Asia Central",2023,2.3758326648385,1.97100496138407,0,2.3758326648385,1.97100496138407,0
"Eslovenia","Europa y Asia Central",2024,1.73139722479493,1.39957708502673,NA,1.73139722479493,1.39957708502673,NA
"Eslovenia","Europa y Asia Central",2025,NA,NA,NA,NA,NA,NA
"Islas Salomón","Asia Oriental y el Pacífico",2016,5.55494348257992,1.8954619438627,NA,5.55494348257992,1.8954619438627,NA
"Islas Salomón","Asia Oriental y el Pacífico",2017,3.07546176144591,-0.426120235207534,NA,3.07546176144591,-0.426120235207534,NA
"Islas Salomón","Asia Oriental y el Pacífico",2018,2.74585244829055,-0.648914414273463,NA,2.74585244829055,-0.648914414273463,NA
"Islas Salomón","Asia Oriental y el Pacífico",2019,1.74925244485951,-0.912183037350545,NA,1.74925244485951,-0.912183037350545,NA
"Islas Salomón","Asia Oriental y el Pacífico",2020,-3.38125925839405,-5.50324350800385,NA,-3.38125925839405,-5.50324350800385,NA
"Islas Salomón","Asia Oriental y el Pacífico",2021,-0.227975292792024,-2.59513572745166,NA,-0.227975292792024,-2.59513572745166,NA
"Islas Salomón","Asia Oriental y el Pacífico",2022,-2.58448361755723,-4.88870843999941,NA,-2.58448361755723,-4.88870843999941,NA
"Islas Salomón","Asia Oriental y el Pacífico",2023,2.84111851154807,0.406498798558516,NA,2.84111851154807,0.406498798558516,NA
"Islas Salomón","Asia Oriental y el Pacífico",2024,2.99755987604104,0.584428781115449,NA,2.99755987604104,0.584428781115449,NA
"Islas Salomón","Asia Oriental y el Pacífico",2025,NA,NA,NA,NA,NA,NA
"Somalia","África Subsahariana",2016,7.03487260042048,2.99347020739935,NA,7.03487260042048,2.99347020739935,NA
"Somalia","África Subsahariana",2017,14.7357956045282,10.3677043802939,NA,14.7357956045282,10.3677043802939,NA
"Somalia","África Subsahariana",2018,2.05431507259452,-1.48470237917039,NA,2.05431507259452,-1.48470237917039,NA
"Somalia","África Subsahariana",2019,2.80033312513012,-0.909258009902032,NA,2.80033312513012,-0.909258009902032,NA
"Somalia","África Subsahariana",2020,-2.76455696202532,-6.38636194168187,NA,-2.76455696202532,-6.38636194168187,NA
"Somalia","África Subsahariana",2021,3.44719850031242,-0.267727633939771,NA,3.44719850031242,-0.267727633939771,NA
"Somalia","África Subsahariana",2022,2.71821202053759,-0.342614533940647,NA,2.71821202053759,-0.342614533940647,NA
"Somalia","África Subsahariana",2023,4.17524257571303,1.01616806512138,NA,4.17524257571303,1.01616806512138,NA
"Somalia","África Subsahariana",2024,4.11139335779471,0.548466776307393,NA,4.11139335779471,0.548466776307393,NA
"Somalia","África Subsahariana",2025,NA,NA,NA,NA,NA,NA
"Sudáfrica","África Subsahariana",2016,0.664552307858116,-0.277781475736276,NA,0.664552307858116,-0.277781475736276,NA
"Sudáfrica","África Subsahariana",2017,1.15794695181735,0.49869596172698,NA,1.15794695181735,0.49869596172698,NA
"Sudáfrica","África Subsahariana",2018,1.55678384721676,-0.1374850396532,NA,1.55678384721676,-0.1374850396532,NA
"Sudáfrica","África Subsahariana",2019,0.25993557687633,-1.3803610544763,NA,0.25993557687633,-1.3803610544763,NA
"Sudáfrica","África Subsahariana",2020,-6.1689177146757,-7.67873309598839,NA,-6.1689177146757,-7.67873309598839,NA
"Sudáfrica","África Subsahariana",2021,4.85864865060148,3.25562042833964,NA,4.85864865060148,3.25562042833964,NA
"Sudáfrica","África Subsahariana",2022,2.05813661692193,0.62521727101273,NA,2.05813661692193,0.62521727101273,NA
"Sudáfrica","África Subsahariana",2023,0.80610455095804,-0.523851146279725,NA,0.80610455095804,-0.523851146279725,NA
"Sudáfrica","África Subsahariana",2024,0.534843531905139,-0.713538079423742,NA,0.534843531905139,-0.713538079423742,NA
"Sudáfrica","África Subsahariana",2025,NA,NA,NA,NA,NA,NA
"Sudán del Sur","África Subsahariana",2016,NA,NA,87.5,NA,NA,87.5
"Sudán del Sur","África Subsahariana",2017,NA,NA,NA,NA,NA,NA
"Sudán del Sur","África Subsahariana",2018,NA,NA,NA,NA,NA,NA
"Sudán del Sur","África Subsahariana",2019,NA,NA,NA,NA,NA,NA
"Sudán del Sur","África Subsahariana",2020,NA,NA,NA,NA,NA,NA
"Sudán del Sur","África Subsahariana",2021,NA,NA,NA,NA,NA,NA
"Sudán del Sur","África Subsahariana",2022,NA,NA,NA,NA,NA,NA
"Sudán del Sur","África Subsahariana",2023,NA,NA,NA,NA,NA,NA
"Sudán del Sur","África Subsahariana",2024,NA,NA,NA,NA,NA,NA
"Sudán del Sur","África Subsahariana",2025,NA,NA,NA,NA,NA,NA
"España","Europa y Asia Central",2016,2.91515598595787,2.83577124069477,4.7,2.91515598595787,2.83577124069477,4.7
"España","Europa y Asia Central",2017,2.89604207865007,2.64617061107108,4.1,2.89604207865007,2.64617061107108,4.1
"España","Europa y Asia Central",2018,2.39541124478878,1.93406292039191,3.9,2.39541124478878,1.93406292039191,3.9
"España","Europa y Asia Central",2019,1.96117850841711,1.23303741249605,3.6,1.96117850841711,1.23303741249605,3.6
"España","Europa y Asia Central",2020,-10.9400706350371,-11.3931290455953,4.2,-10.9400706350371,-11.3931290455953,4.2
"España","Europa y Asia Central",2021,6.68314420473001,6.49336738803039,3.4,6.68314420473001,6.49336738803039,3.4
"España","Europa y Asia Central",2022,6.37031712129601,5.60841068844668,3.5,6.37031712129601,5.60841068844668,3.5
"España","Europa y Asia Central",2023,2.46085796805582,1.26057958891062,3.2,2.46085796805582,1.26057958891062,3.2
"España","Europa y Asia Central",2024,3.45525405630191,2.40413218623925,NA,3.45525405630191,2.40413218623925,NA
"España","Europa y Asia Central",2025,NA,NA,NA,NA,NA,NA
"Sri Lanka","Asia del Sur",2016,5.05362488994436,3.86979649875681,4.2,5.05362488994436,3.86979649875681,4.2
"Sri Lanka","Asia del Sur",2017,6.46068127065753,5.24982935111058,NA,6.46068127065753,5.24982935111058,NA
"Sri Lanka","Asia del Sur",2018,2.31008425545845,1.28556702964238,NA,2.31008425545845,1.28556702964238,NA
"Sri Lanka","Asia del Sur",2019,-0.220483886831275,-0.829146715022418,2.8,-0.220483886831275,-0.829146715022418,2.8
"Sri Lanka","Asia del Sur",2020,-4.62451503749502,-5.12926234602416,NA,-4.62451503749502,-5.12926234602416,NA
"Sri Lanka","Asia del Sur",2021,4.2074764951157,3.09278196860629,NA,4.2074764951157,3.09278196860629,NA
"Sri Lanka","Asia del Sur",2022,-7.34919301306745,-7.45361888091261,NA,-7.34919301306745,-7.45361888091261,NA
"Sri Lanka","Asia del Sur",2023,-2.3298481898334,-1.69162602435424,NA,-2.3298481898334,-1.69162602435424,NA
"Sri Lanka","Asia del Sur",2024,5.00871930957159,5.58848090094126,NA,5.00871930957159,5.58848090094126,NA
"Sri Lanka","Asia del Sur",2025,NA,NA,NA,NA,NA,NA
"Saint Kitts y Nevis","América Latina y el Caribe",2016,3.93270319273282,3.95919692482656,NA,3.93270319273282,3.95919692482656,NA
"Saint Kitts y Nevis","América Latina y el Caribe",2017,0.220941147299996,0.274193507101955,NA,0.220941147299996,0.274193507101955,NA
"Saint Kitts y Nevis","América Latina y el Caribe",2018,2.00352549800972,2.09466207201663,NA,2.00352549800972,2.09466207201663,NA
"Saint Kitts y Nevis","América Latina y el Caribe",2019,2.93824658056356,3.06102179372833,NA,2.93824658056356,3.06102179372833,NA
"Saint Kitts y Nevis","América Latina y el Caribe",2020,-15.3018891740649,-15.1537081395497,NA,-15.3018891740649,-15.1537081395497,NA
"Saint Kitts y Nevis","América Latina y el Caribe",2021,0.367606879216311,0.597261391032816,NA,0.367606879216311,0.597261391032816,NA
"Saint Kitts y Nevis","América Latina y el Caribe",2022,10.4804941546807,10.6082200037537,NA,10.4804941546807,10.6082200037537,NA
"Saint Kitts y Nevis","América Latina y el Caribe",2023,3.02127526129283,2.91331421745427,NA,3.02127526129283,2.91331421745427,NA
"Saint Kitts y Nevis","América Latina y el Caribe",2024,0.312226855858171,0.130203089601792,NA,0.312226855858171,0.130203089601792,NA
"Saint Kitts y Nevis","América Latina y el Caribe",2025,NA,NA,NA,NA,NA,NA
"Santa Lucía","América Latina y el Caribe",2016,3.42787214525211,2.9915396739198,NA,3.42787214525211,2.9915396739198,NA
"Santa Lucía","América Latina y el Caribe",2017,3.37982617272246,2.97179882236796,NA,3.37982617272246,2.97179882236796,NA
"Santa Lucía","América Latina y el Caribe",2018,2.88677902171601,2.49445186760282,NA,2.88677902171601,2.49445186760282,NA
"Santa Lucía","América Latina y el Caribe",2019,-0.700322396299441,-1.06027192026241,NA,-0.700322396299441,-1.06027192026241,NA
"Santa Lucía","América Latina y el Caribe",2020,-24.3614732129122,-24.6114092144696,NA,-24.3614732129122,-24.6114092144696,NA
"Santa Lucía","América Latina y el Caribe",2021,11.598783583643,11.4287492509851,NA,11.598783583643,11.4287492509851,NA
"Santa Lucía","América Latina y el Caribe",2022,20.3884431828414,20.2140364685689,NA,20.3884431828414,20.2140364685689,NA
"Santa Lucía","América Latina y el Caribe",2023,2.20988276526516,1.9225537588581,NA,2.20988276526516,1.9225537588581,NA
"Santa Lucía","América Latina y el Caribe",2024,3.89175024218898,3.62644896169468,NA,3.89175024218898,3.62644896169468,NA
