nombre_pais,codigo_del_pais,region,anio,Crecimiento del PIB (% anual),PIB per cápita (US$ actuales),Crecimiento del PIB per cápita (% anual),"Inflación, precios al consumidor (% anual)","Expectativa de vida, total (años)",Mortalidad infantil (cada 1.000 nacimientos),"Gasto público en educación, total (% del PIB)",Indice de Gini,Índice de recuento de la pobreza multidimensional (Banco Mundial) (% de la población)
Argentina,ARG,América Latina y el Caribe,2021,10.441811988250564,10738.017922338438,10.148559987734899,48.40937862551991,73.948,8.5,4.65393018722534,42.4,1.4
Argentina,ARG,América Latina y el Caribe,2022,6.020745375348554,13962.189408722319,5.797479801693669,72.43075753182404,75.806,8.4,4.79263019561768,40.7,1.3
Argentina,ARG,América Latina y el Caribe,2023,-1.855788030463387,14261.84656679479,-2.137034735401244,133.4889355941749,77.395,8.2,5.00324010848999,42.4,1.2
Argentina,ARG,América Latina y el Caribe,2024,-1.342930721577389,13969.78366037374,-1.6835270052874591,219.883929014578,77.543,8,NA,42.4,1
Argentina,ARG,América Latina y el Caribe,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,ARM,Europa y Asia Central,2016,0.19999999982599093,3524.4247687470715,0.6118771511804084,-1.40360755900899,74.86829268292684,12.2,2.75812005996704,32.5,2.5
Armenia,ARM,Europa y Asia Central,2017,7.500000001641439,3869.0537386775177,7.965446064614241,0.969553268816137,75.21707317073171,11.7,2.70759010314941,33.6,2.4
Armenia,ARM,Europa y Asia Central,2018,5.199999999653244,4196.005623017693,5.568501178500114,2.52023382001637,75.61951219512196,11.2,2.11331180512289,34.4,2.9
Armenia,ARM,Europa y Asia Central,2019,7.599999998539175,4597.228873995479,7.836084386721637,1.44344660770698,76.2219512195122,10.7,2.15984239839771,30,2.4
Armenia,ARM,Europa y Asia Central,2020,-7.199999999206312,4268.6809330458345,-7.168664527316793,1.21143577838464,73.37560975609757,10.2,2.70555996894836,25.1,1.5
Armenia,ARM,Europa y Asia Central,2021,5.800000000656453,4685.179971285085,5.771427607583334,7.1848362944337,72.27804878048782,9.7,2.7678499221801802,27.9,2.1
Armenia,ARM,Europa y Asia Central,2022,12.599999999776628,6571.974455450988,12.338333557637853,8.64091108973854,74.7658536585366,9.3,2.4918999671936,27.9,1.9
Armenia,ARM,Europa y Asia Central,2023,8.299999999595386,8159.0872096799585,8.479020341665347,1.98041877615553,77.4658536585366,8.9,2.43869996070862,27.2,1.9
Armenia,ARM,Europa y Asia Central,2024,5.900000000462285,8556.214069567193,3.484216252306055,0.269511978259125,78.31951219512196,8.5,NA,27.4,0.8
