"nombre_pais","region","pbi_inicial","pbi_final","pbi_pc_inicial","pbi_pc_final","pob_inicial","pob_final"
"Gambia","África Subsahariana",1.94335965478776,5.55126069510321,-0.701007891119758,3.17470253855478,NA,NA
"Georgia","Europa y Asia Central",3.45021517996871,9.67979387500691,3.38835328316745,10.1519478105331,10.5,4.2
"Ghana","África Subsahariana",3.37346574966936,5.59045469593266,1.04704406736222,3.62907892202038,44.1,NA
"Gibraltar","Europa y Asia Central",NA,NA,NA,NA,NA,NA
"Granada","América Latina y el Caribe",3.7396039558691,3.96332516398188,3.33052048330798,3.85156239409045,1.1,NA
"Grecia","Europa y Asia Central",-0.0317947678412054,2.0865743380603,0.384851865059588,2.10832570957629,3.5,1.9
"Greenland","Europa y Asia Central",4.68195410972302,0.865961986998158,4.54780858066064,0.504111002291438,NA,NA
"Guam","Asia Oriental y el Pacífico",0.18198362147406,5.09986426216793,0.591903022530076,4.17726586538778,NA,NA
"Guatemala","América Latina y el Caribe",2.67780277623314,3.65186382894819,0.803225184137091,2.06653256614987,NA,13.7
"Guinea","África Subsahariana",10.82062719659,5.35004659051708,8.01216245351651,2.85590233664557,46.1,NA
"Guinea Ecuatorial","África Subsahariana",-8.81641723219757,0.907248245986736,-12.0971098998986,-1.49035168546814,NA,20
"Guinea-Bissau","África Subsahariana",5.4326782650304,4.14631137217332,2.81765698941554,1.87480874655408,54,48.3
"Guyana","América Latina y el Caribe",3.80745626378814,43.8193108024355,3.15936322443832,43.0000937802239,NA,NA
"Haití","América Latina y el Caribe",1.81246807847532,-4.16963395808132,0.398402974127237,-5.26984833324718,NA,NA
"Honduras","América Latina y el Caribe",3.89297219726413,3.55397003296669,1.96051068302054,1.82401839948827,22.8,18.4
"Hong Kong SAR, China","Asia Oriental y el Pacífico",2.17542886502997,2.50498758466826,1.54454440525488,2.66847024053622,NA,NA
"Hungría","Europa y Asia Central",2.43864141309342,0.560117843140432,2.83749039789862,0.8768874226772,1.6,NA
"India","Asia del Sur",8.25630550179086,6.49476552383821,6.97394690929247,5.55042158511394,NA,17.7
"Indonesia","Asia Oriental y el Pacífico",5.03306918280177,5.03034469419038,3.91054275495577,4.1790017564892,19,4.3
"Iraq","Oriente Medio y Norte de África",13.7873730187089,-1.54525198318304,11.0984155585203,-3.6151190083088,NA,NA
"Irlanda","Europa y Asia Central",1.22271661130947,2.59946721553708,-0.0687294094505688,0.997438539135004,1,NA
"Irán (República Islámica del)","Oriente Medio y Norte de África",8.8150866425182,3.66312056830718,7.26636493161325,2.57740906823993,3.1,2.5
"Islandia","Europa y Asia Central",6.21808764217616,-0.970676468918384,4.75387973177391,-1.18666721611689,0,NA
"Islas Marshall","Asia Oriental y el Pacífico",2.5040827436037,2.50192717852873,4.84812588584671,5.99345708321974,NA,NA
"Islas Salomón","Asia Oriental y el Pacífico",5.55494348257992,2.99755987604104,1.8954619438627,0.584428781115449,NA,NA
"Isle of Man","Europa y Asia Central",6.95230284899407,-4.16539345213232,7.11503908245226,-4.19501000433891,NA,NA
"Israel","Oriente Medio y Norte de África",4.45978271860821,0.871968424377442,2.4319477135746,-0.396212603094554,0.5,0.3
"Italia","Europa y Asia Central",1.23622108511661,0.692676948440536,1.42884453159633,0.746500224061592,3.1,2.3
"Jamaica","América Latina y el Caribe",2.76043761369557,-0.535039063867487,2.49050959451111,-0.51363387005874,0.6,1.6
"Japón","Asia Oriental y el Pacífico",0.753826745789127,0.104309021773304,0.805362824501671,0.541366477991744,0.8,NA
"Jordania","Oriente Medio y Norte de África",1.9941808493012,2.48889409603647,-2.71126216102509,1.48055685000026,NA,NA
"Kazajstán","Europa y Asia Central",1.09999999910173,4.99999999996936,-0.438395201172128,3.66170013445029,0.2,NA
"Kenya","África Subsahariana",4.21351706814744,4.72473994710138,1.93794795580835,2.6946724258593,NA,47.3
"Kirguistán","Europa y Asia Central",4.33585592190116,9.04013556120012,2.04985149948004,7.19632406056586,8.3,2.2
"Kiribati","Asia Oriental y el Pacífico",7.08802960050427,5.26689747917099,5.58490333887225,3.71119049431697,NA,1.6
