"Country Name","Country Code","year","gdp_pc_growth","inflation","life_expectancy","infant_mortality","edu_expenditure","gini","poverty_multi","region","gdp_pc_growth_n","inflation_n","life_expectancy_n","infant_mortality_n","edu_expenditure_n","gini_n","poverty_multi_n","dim_economica","dim_social","dim_equidad","indice_compuesto"
"Jordan","JOR","2024",1.48055685000026,1.55659611283953,77.981,12,3.23356008529663,NA,NA,"Middle East & North Africa",0.436004284657372,0.975674084222343,0.874170717652447,0.947470817120623,0.197282019951222,NA,NA,0.705839184439857,0.672974518241431,NA,0.689406851340644
"Kazakhstan","KAZ","2016",-0.438395201172128,14.3610942386248,72.549,8.8,2.9780900478363,27.2,0.2,"Europe & Central Asia",0.421267440498103,0.953190282499518,0.793909484478199,0.963035019455253,0.181695574609885,0.883040935672515,0.997727272727273,0.687228861498811,0.646213359514445,0.940384104199894,0.757942108404383
"Kazakhstan","KAZ","2017",2.49076945691363,7.44266321306792,72.996,8.4,2.75081992149353,27.5,0.1,"Europe & Central Asia",0.443762344973008,0.965338562727574,0.800514191994563,0.964980544747082,0.167829629948917,0.874269005847953,0.998863636363636,0.704550453850291,0.64444145556352,0.936566321105795,0.761852743506536
"Kazakhstan","KAZ","2018",2.5560669084423,6.16366247577762,73.369,8.2,2.61595010757446,27.8,0.1,"Europe & Central Asia",0.444263805322988,0.967584398425162,0.80602550274088,0.965953307392996,0.159601107325506,0.865497076023392,0.998863636363636,0.705924101874075,0.643859972486461,0.932180356193514,0.760654810184683
"Kazakhstan","KAZ","2019",2.99405538115775,5.33356098916669,73.658,8.1,2.8569700717926,28,NA,"Europe & Central Asia",0.44762739528972,0.969041998485034,0.810295660396874,0.966439688715953,0.174305941347541,0.859649122807018,NA,0.708334696887377,0.650347096820122,0.859649122807018,0.739443638838172
"Kazakhstan","KAZ","2020",-3.86406094514987,6.71815454861458,71.195,8,4.44620380169618,28.7,NA,"Europe & Central Asia",0.394959590763191,0.96661074918877,0.773903278712747,0.966926070038911,0.271266449562121,0.839181286549708,NA,0.680785169975981,0.670698599437926,0.839181286549708,0.730221685321205
"Kazakhstan","KAZ","2021",2.91864170117744,8.04147134028401,70.131,7.9,4.38569397571466,29.2,NA,"Europe & Central Asia",0.447048246035487,0.96428709760414,0.758182006235317,0.967412451361868,0.267574693359904,0.824561403508772,NA,0.705667671819813,0.664389716985696,0.824561403508772,0.731539597438094
"Kazakhstan","KAZ","2022",1.70100297910589,15.0278644440851,73.503,7.7,4.36185360851405,NA,NA,"Europe & Central Asia",0.437697229641671,0.952019480727595,0.808005437432586,0.968385214007782,0.266120172180107,NA,NA,0.694858355184633,0.680836941206825,NA,0.687847648195729
"Kazakhstan","KAZ","2023",3.57238732741942,14.5275597825952,74.402,7.6,4.86469984054565,NA,NA,"Europe & Central Asia",0.452068771383082,0.95289798066562,0.821288730625452,0.968871595330739,0.296799250590133,NA,NA,0.702483376024351,0.695653192182108,NA,0.69906828410323
"Kazakhstan","KAZ","2024",3.66170013445029,8.69082156104494,74.531,7.4,NA,NA,NA,"Europe & Central Asia",0.452754660807905,0.963146884105037,0.823194787157021,0.969844357976654,NA,NA,NA,0.707950772456471,0.896519572566837,NA,0.802235172511654
"Kenya","KEN","2016",1.93794795580835,6.29724953814625,62.526,38.4,4.89518022537231,NA,NA,"Sub-Saharan Africa",0.439516879691735,0.967349828901739,0.645813324664963,0.819066147859922,0.298658884920666,NA,NA,0.703433354296737,0.587846119148517,NA,0.645639736722627
"Kenya","KEN","2017",1.60475183361922,8.00564967709945,62.725,38.2,4.96308994293213,NA,NA,"Sub-Saharan Africa",0.436958056335949,0.964349997935298,0.648753675438467,0.820038910505837,0.302802114832926,NA,NA,0.700654027135623,0.590531566925743,NA,0.645592797030683
"Kenya","KEN","2018",3.52404781491717,4.6898064677633,62.825,37.5,5.10761976242065,NA,NA,"Sub-Saharan Africa",0.451697541751761,0.970172386328058,0.650231238641233,0.823443579766537,0.311620002652749,NA,NA,0.710934964039909,0.59509827368684,NA,0.653016618863374
"Kenya","KEN","2019",3.07004769448449,5.23963795764792,62.939,37,5.37359210998097,NA,NA,"Sub-Saharan Africa",0.44821098823469,0.969206920748846,0.651915660692386,0.825875486381323,0.327847202909842,NA,NA,0.708708954491768,0.601879449994517,NA,0.655294202243142
"Kenya","KEN","2020",-2.2103217118529,5.40516207933392,61.596,36.5,5.04574892454155,36.2,46.4,"Sub-Saharan Africa",0.407659698275662,0.96891627198653,0.632071986879239,0.828307392996109,0.307845209951373,0.619883040935672,0.472727272727273,0.688287985131096,0.589408196608907,0.546305156831473,0.608000446190492
"Kenya","KEN","2021",5.5651365159048,6.10793603659176,61.225,36,4.89040202257195,38.7,47.6,"Sub-Saharan Africa",0.467372350344983,0.9676822501486,0.626590227396977,0.830739299610895,0.29836736268378,0.546783625730994,0.459090909090909,0.717527300246792,0.585232296563884,0.502937267410952,0.601898954740542
"Kenya","KEN","2022",2.86281276489714,7.65986268272224,63.549,35.5,4.51101801829815,38.5,47.3,"Sub-Saharan Africa",0.446619500391197,0.964957175674209,0.660928796229259,0.833171206225681,0.27522082031515,0.552631578947368,0.4625,0.705788338032703,0.58977360759003,0.507565789473684,0.601042578365472
